Month,1991 - 2020,%
Janeiro,292.1,0.176
Feveveiro,257.7,0.155
Março,229.1,0.138
Abril,87,0.052
Maio,66.3,0.040
Junho,59.7,0.036
Julho,48.4,0.029
Agosto,32.3,0.019
Setembro,83.3,0.050
Outubro,127.2,0.077
Novembro,143.9,0.087
Dezembro,231.3,0.139
,,
,,
