burned;burningProbability;burningStepThreshold;dim;empty;finalTime;forest;neighborhood;simulations
6804;1;1;100;0.05;100;2641;"vonneumann";"1_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9450;1;1;100;0.05;100;28;"vonneumann";"2_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8222;1;1;100;0.05;100;1268;"vonneumann";"3_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9116;1;1;100;0.05;100;296;"vonneumann";"4_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6977;1;1;100;0.05;100;2450;"vonneumann";"5_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9031;1;1;100;0.05;100;430;"vonneumann";"6_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8447;1;1;100;0.05;100;947;"vonneumann";"7_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7151;1;1;100;0.05;100;2258;"vonneumann";"8_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7593;1;1;100;0.05;100;1851;"vonneumann";"9_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
5493;1;1;100;0.05;100;3925;"vonneumann";"10_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8091;1;1;100;0.05;100;1334;"vonneumann";"11_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7091;1;1;100;0.05;100;2350;"vonneumann";"12_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8545;1;1;100;0.05;100;897;"vonneumann";"13_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6204;1;1;100;0.05;100;3159;"vonneumann";"14_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9469;1;1;100;0.05;100;49;"vonneumann";"15_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7467;1;1;100;0.05;100;1930;"vonneumann";"16_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8739;1;1;100;0.05;100;724;"vonneumann";"17_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9119;1;1;100;0.05;100;332;"vonneumann";"18_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7115;1;1;100;0.05;100;2232;"vonneumann";"19_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9428;1;1;100;0.05;100;54;"vonneumann";"20_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7828;1;1;100;0.05;100;1583;"vonneumann";"21_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9080;1;1;100;0.05;100;354;"vonneumann";"22_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9207;1;1;100;0.05;100;260;"vonneumann";"23_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6346;1;1;100;0.05;100;3092;"vonneumann";"24_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8586;1;1;100;0.05;100;896;"vonneumann";"25_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8218;1;1;100;0.05;100;1225;"vonneumann";"26_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8738;1;1;100;0.05;100;659;"vonneumann";"27_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7340;1;1;100;0.05;100;2031;"vonneumann";"28_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8250;1;1;100;0.05;100;1157;"vonneumann";"29_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6708;1;1;100;0.05;100;2699;"vonneumann";"30_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6788;1;1;100;0.05;100;2655;"vonneumann";"31_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7455;1;1;100;0.05;100;1965;"vonneumann";"32_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
7553;1;1;100;0.05;100;1836;"vonneumann";"33_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
5966;1;1;100;0.05;100;3476;"vonneumann";"34_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
9043;1;1;100;0.05;100;413;"vonneumann";"35_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
8763;1;1;100;0.05;100;702;"vonneumann";"36_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
6674;1;1;100;0.05;100;2744;"vonneumann";"37_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
5780;1;1;100;0.05;100;3629;"vonneumann";"38_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_neighborhood_vonneumann_"
