burned;burningProbability;burningStepThreshold;dim;empty;finalTime;forest;neighborhood;simulations
2374;1;1;50;0.05;100;0;"moore";"1_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2391;1;1;50;0.05;100;0;"moore";"2_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2368;1;1;50;0.05;100;0;"moore";"3_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2369;1;1;50;0.05;100;0;"moore";"4_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2372;1;1;50;0.05;100;0;"moore";"5_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2386;1;1;50;0.05;100;0;"moore";"6_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2372;1;1;50;0.05;100;0;"moore";"7_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2380;1;1;50;0.05;100;0;"moore";"8_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2380;1;1;50;0.05;100;0;"moore";"9_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2386;1;1;50;0.05;100;0;"moore";"10_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2368;1;1;50;0.05;100;0;"moore";"11_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2358;1;1;50;0.05;100;0;"moore";"12_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2364;1;1;50;0.05;100;0;"moore";"13_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2375;1;1;50;0.05;100;0;"moore";"14_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2374;1;1;50;0.05;100;0;"moore";"15_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2376;1;1;50;0.05;100;0;"moore";"16_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2379;1;1;50;0.05;100;0;"moore";"17_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2366;1;1;50;0.05;100;0;"moore";"18_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2378;1;1;50;0.05;100;0;"moore";"19_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2378;1;1;50;0.05;100;0;"moore";"20_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2388;1;1;50;0.05;100;0;"moore";"21_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2390;1;1;50;0.05;100;0;"moore";"22_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2374;1;1;50;0.05;100;0;"moore";"23_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2358;1;1;50;0.05;100;0;"moore";"24_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2368;1;1;50;0.05;100;0;"moore";"25_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2370;1;1;50;0.05;100;0;"moore";"26_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2375;1;1;50;0.05;100;0;"moore";"27_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2360;1;1;50;0.05;100;0;"moore";"28_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2389;1;1;50;0.05;100;0;"moore";"29_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2373;1;1;50;0.05;100;0;"moore";"30_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2392;1;1;50;0.05;100;0;"moore";"31_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2377;1;1;50;0.05;100;0;"moore";"32_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2377;1;1;50;0.05;100;0;"moore";"33_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2369;1;1;50;0.05;100;0;"moore";"34_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2381;1;1;50;0.05;100;0;"moore";"35_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2368;1;1;50;0.05;100;0;"moore";"36_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2370;1;1;50;0.05;100;0;"moore";"37_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2381;1;1;50;0.05;100;0;"moore";"38_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2359;1;1;50;0.05;100;0;"moore";"39_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2386;1;1;50;0.05;100;0;"moore";"40_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2357;1;1;50;0.05;100;0;"moore";"41_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2392;1;1;50;0.05;100;0;"moore";"42_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2390;1;1;50;0.05;100;0;"moore";"43_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2380;1;1;50;0.05;100;0;"moore";"44_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2386;1;1;50;0.05;100;0;"moore";"45_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2362;1;1;50;0.05;100;0;"moore";"46_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2390;1;1;50;0.05;100;0;"moore";"47_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2378;1;1;50;0.05;100;0;"moore";"48_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2367;1;1;50;0.05;100;0;"moore";"49_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2344;1;1;50;0.05;100;0;"moore";"50_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.05_neighborhood_moore_"
2243;1;1;50;0.1;100;0;"moore";"1_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.1_neighborhood_moore_"
2254;1;1;50;0.1;100;0;"moore";"2_execution_burningProbability_1_burningStepThreshold_1_dim_50_empty_0.1_neighborhood_moore_"
