burned;dim;empty;finalTime;forest;simulations
28;20;0.53;100;181;"1_execution_dim_20_empty_0.53_"
50;20;0.53;100;156;"2_execution_dim_20_empty_0.53_"
1;20;0.53;100;166;"3_execution_dim_20_empty_0.53_"
15;20;0.54;100;176;"1_execution_dim_20_empty_0.54_"
17;20;0.54;100;171;"2_execution_dim_20_empty_0.54_"
41;20;0.54;100;159;"3_execution_dim_20_empty_0.54_"
26;20;0.55;100;132;"1_execution_dim_20_empty_0.55_"
2;20;0.55;100;170;"2_execution_dim_20_empty_0.55_"
9;20;0.55;100;166;"3_execution_dim_20_empty_0.55_"
35;20;0.56;100;151;"1_execution_dim_20_empty_0.56_"
4;20;0.56;100;160;"2_execution_dim_20_empty_0.56_"
2;20;0.56;100;152;"3_execution_dim_20_empty_0.56_"
12;20;0.57;100;171;"1_execution_dim_20_empty_0.57_"
34;20;0.57;100;140;"2_execution_dim_20_empty_0.57_"
2;20;0.57;100;169;"3_execution_dim_20_empty_0.57_"
5;20;0.58;100;155;"1_execution_dim_20_empty_0.58_"
1;20;0.58;100;170;"2_execution_dim_20_empty_0.58_"
21;20;0.58;100;152;"3_execution_dim_20_empty_0.58_"
6;20;0.59;100;150;"1_execution_dim_20_empty_0.59_"
14;20;0.59;100;141;"2_execution_dim_20_empty_0.59_"
23;20;0.59;100;147;"3_execution_dim_20_empty_0.59_"
23;20;0.6;100;132;"1_execution_dim_20_empty_0.6_"
2;20;0.6;100;164;"2_execution_dim_20_empty_0.6_"
11;20;0.6;100;142;"3_execution_dim_20_empty_0.6_"
1;20;0.61;100;152;"1_execution_dim_20_empty_0.61_"
3;20;0.61;100;149;"2_execution_dim_20_empty_0.61_"
2;20;0.61;100;153;"3_execution_dim_20_empty_0.61_"
7;20;0.62;100;135;"1_execution_dim_20_empty_0.62_"
10;20;0.62;100;131;"2_execution_dim_20_empty_0.62_"
15;20;0.62;100;155;"3_execution_dim_20_empty_0.62_"
12;20;0.63;100;138;"1_execution_dim_20_empty_0.63_"
3;20;0.63;100;146;"2_execution_dim_20_empty_0.63_"
1;20;0.63;100;161;"3_execution_dim_20_empty_0.63_"
4;20;0.64;100;145;"1_execution_dim_20_empty_0.64_"
16;20;0.64;100;132;"2_execution_dim_20_empty_0.64_"
3;20;0.64;100;135;"3_execution_dim_20_empty_0.64_"
7;20;0.65;100;134;"1_execution_dim_20_empty_0.65_"
1;20;0.65;100;144;"2_execution_dim_20_empty_0.65_"
4;20;0.65;100;131;"3_execution_dim_20_empty_0.65_"
2;20;0.66;100;144;"1_execution_dim_20_empty_0.66_"
12;20;0.66;100;119;"2_execution_dim_20_empty_0.66_"
1;20;0.66;100;134;"3_execution_dim_20_empty_0.66_"
1;20;0.67;100;110;"1_execution_dim_20_empty_0.67_"
15;20;0.67;100;120;"2_execution_dim_20_empty_0.67_"
2;20;0.67;100;116;"3_execution_dim_20_empty_0.67_"
3;20;0.68;100;121;"1_execution_dim_20_empty_0.68_"
5;20;0.68;100;119;"2_execution_dim_20_empty_0.68_"
3;20;0.68;100;122;"3_execution_dim_20_empty_0.68_"
4;20;0.69;100;124;"1_execution_dim_20_empty_0.69_"
9;20;0.69;100;131;"2_execution_dim_20_empty_0.69_"
2;20;0.69;100;104;"3_execution_dim_20_empty_0.69_"
2;20;0.7;100;126;"1_execution_dim_20_empty_0.7_"
9;20;0.7;100;107;"2_execution_dim_20_empty_0.7_"
9;20;0.7;100;103;"3_execution_dim_20_empty_0.7_"
2;20;0.71;100;132;"1_execution_dim_20_empty_0.71_"
10;20;0.71;100;114;"2_execution_dim_20_empty_0.71_"
22;20;0.71;100;108;"3_execution_dim_20_empty_0.71_"
1;20;0.72;100;105;"1_execution_dim_20_empty_0.72_"
2;20;0.72;100;113;"2_execution_dim_20_empty_0.72_"
1;20;0.72;100;116;"3_execution_dim_20_empty_0.72_"
1;20;0.73;100;90;"1_execution_dim_20_empty_0.73_"
9;20;0.73;100;113;"2_execution_dim_20_empty_0.73_"
1;20;0.73;100;113;"3_execution_dim_20_empty_0.73_"
4;20;0.74;100;93;"1_execution_dim_20_empty_0.74_"
6;20;0.74;100;92;"2_execution_dim_20_empty_0.74_"
3;20;0.74;100;102;"3_execution_dim_20_empty_0.74_"
1;20;0.75;100;111;"1_execution_dim_20_empty_0.75_"
1;20;0.75;100;78;"2_execution_dim_20_empty_0.75_"
2;20;0.75;100;95;"3_execution_dim_20_empty_0.75_"
3;20;0.76;100;99;"1_execution_dim_20_empty_0.76_"
1;20;0.76;100;87;"2_execution_dim_20_empty_0.76_"
4;20;0.76;100;94;"3_execution_dim_20_empty_0.76_"
