burned;dim;empty;finalTime;forest;simulations
2500;50;0.0;100;0;"1_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"2_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"3_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"4_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"5_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"6_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"7_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"8_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"9_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"10_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"11_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"12_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"13_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"14_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"15_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"16_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"17_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"18_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"19_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"20_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"21_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"22_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"23_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"24_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"25_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"26_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"27_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"28_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"29_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"30_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"31_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"32_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"33_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"34_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"35_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"36_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"37_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"38_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"39_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"40_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"41_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"42_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"43_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"44_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"45_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"46_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"47_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"48_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"49_execution_dim_50_empty_0.0_"
2500;50;0.0;100;0;"50_execution_dim_50_empty_0.0_"
2443;50;0.02;100;0;"1_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"2_execution_dim_50_empty_0.02_"
2447;50;0.02;100;0;"3_execution_dim_50_empty_0.02_"
2455;50;0.02;100;0;"4_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"5_execution_dim_50_empty_0.02_"
2453;50;0.02;100;0;"6_execution_dim_50_empty_0.02_"
2450;50;0.02;100;0;"7_execution_dim_50_empty_0.02_"
2456;50;0.02;100;0;"8_execution_dim_50_empty_0.02_"
2442;50;0.02;100;0;"9_execution_dim_50_empty_0.02_"
2453;50;0.02;100;0;"10_execution_dim_50_empty_0.02_"
2454;50;0.02;100;0;"11_execution_dim_50_empty_0.02_"
2437;50;0.02;100;0;"12_execution_dim_50_empty_0.02_"
2458;50;0.02;100;0;"13_execution_dim_50_empty_0.02_"
2456;50;0.02;100;0;"14_execution_dim_50_empty_0.02_"
2450;50;0.02;100;0;"15_execution_dim_50_empty_0.02_"
2451;50;0.02;100;0;"16_execution_dim_50_empty_0.02_"
2450;50;0.02;100;0;"17_execution_dim_50_empty_0.02_"
2458;50;0.02;100;0;"18_execution_dim_50_empty_0.02_"
2448;50;0.02;100;0;"19_execution_dim_50_empty_0.02_"
2457;50;0.02;100;0;"20_execution_dim_50_empty_0.02_"
2444;50;0.02;100;0;"21_execution_dim_50_empty_0.02_"
2441;50;0.02;100;0;"22_execution_dim_50_empty_0.02_"
2462;50;0.02;100;0;"23_execution_dim_50_empty_0.02_"
2447;50;0.02;100;0;"24_execution_dim_50_empty_0.02_"
2444;50;0.02;100;0;"25_execution_dim_50_empty_0.02_"
2460;50;0.02;100;0;"26_execution_dim_50_empty_0.02_"
2464;50;0.02;100;0;"27_execution_dim_50_empty_0.02_"
2459;50;0.02;100;0;"28_execution_dim_50_empty_0.02_"
2431;50;0.02;100;0;"29_execution_dim_50_empty_0.02_"
2445;50;0.02;100;0;"30_execution_dim_50_empty_0.02_"
2464;50;0.02;100;0;"31_execution_dim_50_empty_0.02_"
2455;50;0.02;100;0;"32_execution_dim_50_empty_0.02_"
2459;50;0.02;100;0;"33_execution_dim_50_empty_0.02_"
2449;50;0.02;100;0;"34_execution_dim_50_empty_0.02_"
2460;50;0.02;100;0;"35_execution_dim_50_empty_0.02_"
2450;50;0.02;100;0;"36_execution_dim_50_empty_0.02_"
2468;50;0.02;100;0;"37_execution_dim_50_empty_0.02_"
2446;50;0.02;100;0;"38_execution_dim_50_empty_0.02_"
2445;50;0.02;100;0;"39_execution_dim_50_empty_0.02_"
2458;50;0.02;100;0;"40_execution_dim_50_empty_0.02_"
2451;50;0.02;100;0;"41_execution_dim_50_empty_0.02_"
2458;50;0.02;100;0;"42_execution_dim_50_empty_0.02_"
2443;50;0.02;100;0;"43_execution_dim_50_empty_0.02_"
2445;50;0.02;100;0;"44_execution_dim_50_empty_0.02_"
2458;50;0.02;100;0;"45_execution_dim_50_empty_0.02_"
2439;50;0.02;100;0;"46_execution_dim_50_empty_0.02_"
2445;50;0.02;100;0;"47_execution_dim_50_empty_0.02_"
2440;50;0.02;100;0;"48_execution_dim_50_empty_0.02_"
2461;50;0.02;100;0;"49_execution_dim_50_empty_0.02_"
2452;50;0.02;100;0;"50_execution_dim_50_empty_0.02_"
2409;50;0.04;100;0;"1_execution_dim_50_empty_0.04_"
2402;50;0.04;100;0;"2_execution_dim_50_empty_0.04_"
2415;50;0.04;100;0;"3_execution_dim_50_empty_0.04_"
2393;50;0.04;100;0;"4_execution_dim_50_empty_0.04_"
2403;50;0.04;100;0;"5_execution_dim_50_empty_0.04_"
2402;50;0.04;100;0;"6_execution_dim_50_empty_0.04_"
2402;50;0.04;100;0;"7_execution_dim_50_empty_0.04_"
2398;50;0.04;100;0;"8_execution_dim_50_empty_0.04_"
2402;50;0.04;100;0;"9_execution_dim_50_empty_0.04_"
2386;50;0.04;100;0;"10_execution_dim_50_empty_0.04_"
2386;50;0.04;100;0;"11_execution_dim_50_empty_0.04_"
2396;50;0.04;100;0;"12_execution_dim_50_empty_0.04_"
2414;50;0.04;100;0;"13_execution_dim_50_empty_0.04_"
2412;50;0.04;100;0;"14_execution_dim_50_empty_0.04_"
2417;50;0.04;100;0;"15_execution_dim_50_empty_0.04_"
2405;50;0.04;100;0;"16_execution_dim_50_empty_0.04_"
2416;50;0.04;100;0;"17_execution_dim_50_empty_0.04_"
2400;50;0.04;100;0;"18_execution_dim_50_empty_0.04_"
2400;50;0.04;100;0;"19_execution_dim_50_empty_0.04_"
2401;50;0.04;100;0;"20_execution_dim_50_empty_0.04_"
2394;50;0.04;100;0;"21_execution_dim_50_empty_0.04_"
2410;50;0.04;100;0;"22_execution_dim_50_empty_0.04_"
2399;50;0.04;100;0;"23_execution_dim_50_empty_0.04_"
2393;50;0.04;100;0;"24_execution_dim_50_empty_0.04_"
2406;50;0.04;100;0;"25_execution_dim_50_empty_0.04_"
2395;50;0.04;100;0;"26_execution_dim_50_empty_0.04_"
2396;50;0.04;100;0;"27_execution_dim_50_empty_0.04_"
2405;50;0.04;100;0;"28_execution_dim_50_empty_0.04_"
2395;50;0.04;100;0;"29_execution_dim_50_empty_0.04_"
2401;50;0.04;100;0;"30_execution_dim_50_empty_0.04_"
2379;50;0.04;100;0;"31_execution_dim_50_empty_0.04_"
2393;50;0.04;100;0;"32_execution_dim_50_empty_0.04_"
2386;50;0.04;100;0;"33_execution_dim_50_empty_0.04_"
2389;50;0.04;100;0;"34_execution_dim_50_empty_0.04_"
2401;50;0.04;100;0;"35_execution_dim_50_empty_0.04_"
2392;50;0.04;100;0;"36_execution_dim_50_empty_0.04_"
2416;50;0.04;100;0;"37_execution_dim_50_empty_0.04_"
2395;50;0.04;100;0;"38_execution_dim_50_empty_0.04_"
2411;50;0.04;100;0;"39_execution_dim_50_empty_0.04_"
2390;50;0.04;100;0;"40_execution_dim_50_empty_0.04_"
2404;50;0.04;100;0;"41_execution_dim_50_empty_0.04_"
2392;50;0.04;100;0;"42_execution_dim_50_empty_0.04_"
2383;50;0.04;100;0;"43_execution_dim_50_empty_0.04_"
2386;50;0.04;100;0;"44_execution_dim_50_empty_0.04_"
2391;50;0.04;100;0;"45_execution_dim_50_empty_0.04_"
2395;50;0.04;100;0;"46_execution_dim_50_empty_0.04_"
2409;50;0.04;100;0;"47_execution_dim_50_empty_0.04_"
2387;50;0.04;100;0;"48_execution_dim_50_empty_0.04_"
2412;50;0.04;100;0;"49_execution_dim_50_empty_0.04_"
2401;50;0.04;100;0;"50_execution_dim_50_empty_0.04_"
2340;50;0.06;100;0;"1_execution_dim_50_empty_0.06_"
2349;50;0.06;100;0;"2_execution_dim_50_empty_0.06_"
2356;50;0.06;100;0;"3_execution_dim_50_empty_0.06_"
2339;50;0.06;100;0;"4_execution_dim_50_empty_0.06_"
2354;50;0.06;100;0;"5_execution_dim_50_empty_0.06_"
2362;50;0.06;100;0;"6_execution_dim_50_empty_0.06_"
2350;50;0.06;100;0;"7_execution_dim_50_empty_0.06_"
2349;50;0.06;100;0;"8_execution_dim_50_empty_0.06_"
2361;50;0.06;100;1;"9_execution_dim_50_empty_0.06_"
2363;50;0.06;100;0;"10_execution_dim_50_empty_0.06_"
2332;50;0.06;100;0;"11_execution_dim_50_empty_0.06_"
2337;50;0.06;100;3;"12_execution_dim_50_empty_0.06_"
2370;50;0.06;100;0;"13_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"14_execution_dim_50_empty_0.06_"
2341;50;0.06;100;0;"15_execution_dim_50_empty_0.06_"
2355;50;0.06;100;0;"16_execution_dim_50_empty_0.06_"
2339;50;0.06;100;0;"17_execution_dim_50_empty_0.06_"
2352;50;0.06;100;0;"18_execution_dim_50_empty_0.06_"
2362;50;0.06;100;0;"19_execution_dim_50_empty_0.06_"
2352;50;0.06;100;0;"20_execution_dim_50_empty_0.06_"
2352;50;0.06;100;0;"21_execution_dim_50_empty_0.06_"
2358;50;0.06;100;0;"22_execution_dim_50_empty_0.06_"
2330;50;0.06;100;0;"23_execution_dim_50_empty_0.06_"
2329;50;0.06;100;0;"24_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"25_execution_dim_50_empty_0.06_"
2366;50;0.06;100;0;"26_execution_dim_50_empty_0.06_"
2345;50;0.06;100;0;"27_execution_dim_50_empty_0.06_"
2359;50;0.06;100;0;"28_execution_dim_50_empty_0.06_"
2336;50;0.06;100;0;"29_execution_dim_50_empty_0.06_"
2337;50;0.06;100;0;"30_execution_dim_50_empty_0.06_"
2341;50;0.06;100;0;"31_execution_dim_50_empty_0.06_"
2345;50;0.06;100;0;"32_execution_dim_50_empty_0.06_"
2349;50;0.06;100;0;"33_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"34_execution_dim_50_empty_0.06_"
2348;50;0.06;100;0;"35_execution_dim_50_empty_0.06_"
2326;50;0.06;100;0;"36_execution_dim_50_empty_0.06_"
2342;50;0.06;100;0;"37_execution_dim_50_empty_0.06_"
2363;50;0.06;100;0;"38_execution_dim_50_empty_0.06_"
2337;50;0.06;100;0;"39_execution_dim_50_empty_0.06_"
2329;50;0.06;100;1;"40_execution_dim_50_empty_0.06_"
2339;50;0.06;100;0;"41_execution_dim_50_empty_0.06_"
2357;50;0.06;100;0;"42_execution_dim_50_empty_0.06_"
2370;50;0.06;100;0;"43_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"44_execution_dim_50_empty_0.06_"
2337;50;0.06;100;1;"45_execution_dim_50_empty_0.06_"
2362;50;0.06;100;0;"46_execution_dim_50_empty_0.06_"
2344;50;0.06;100;0;"47_execution_dim_50_empty_0.06_"
2348;50;0.06;100;0;"48_execution_dim_50_empty_0.06_"
2328;50;0.06;100;0;"49_execution_dim_50_empty_0.06_"
2360;50;0.06;100;0;"50_execution_dim_50_empty_0.06_"
2301;50;0.08;100;0;"1_execution_dim_50_empty_0.08_"
2284;50;0.08;100;0;"2_execution_dim_50_empty_0.08_"
2292;50;0.08;100;0;"3_execution_dim_50_empty_0.08_"
2304;50;0.08;100;0;"4_execution_dim_50_empty_0.08_"
2321;50;0.08;100;1;"5_execution_dim_50_empty_0.08_"
2295;50;0.08;100;0;"6_execution_dim_50_empty_0.08_"
2304;50;0.08;100;0;"7_execution_dim_50_empty_0.08_"
2286;50;0.08;100;0;"8_execution_dim_50_empty_0.08_"
2287;50;0.08;100;0;"9_execution_dim_50_empty_0.08_"
2319;50;0.08;100;0;"10_execution_dim_50_empty_0.08_"
2278;50;0.08;100;0;"11_execution_dim_50_empty_0.08_"
2306;50;0.08;100;1;"12_execution_dim_50_empty_0.08_"
2276;50;0.08;100;0;"13_execution_dim_50_empty_0.08_"
2309;50;0.08;100;0;"14_execution_dim_50_empty_0.08_"
2281;50;0.08;100;1;"15_execution_dim_50_empty_0.08_"
2291;50;0.08;100;1;"16_execution_dim_50_empty_0.08_"
2294;50;0.08;100;2;"17_execution_dim_50_empty_0.08_"
2290;50;0.08;100;0;"18_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"19_execution_dim_50_empty_0.08_"
2297;50;0.08;100;0;"20_execution_dim_50_empty_0.08_"
2296;50;0.08;100;0;"21_execution_dim_50_empty_0.08_"
2301;50;0.08;100;0;"22_execution_dim_50_empty_0.08_"
2309;50;0.08;100;0;"23_execution_dim_50_empty_0.08_"
2317;50;0.08;100;0;"24_execution_dim_50_empty_0.08_"
2299;50;0.08;100;0;"25_execution_dim_50_empty_0.08_"
2298;50;0.08;100;0;"26_execution_dim_50_empty_0.08_"
2287;50;0.08;100;0;"27_execution_dim_50_empty_0.08_"
2322;50;0.08;100;0;"28_execution_dim_50_empty_0.08_"
2290;50;0.08;100;0;"29_execution_dim_50_empty_0.08_"
2287;50;0.08;100;0;"30_execution_dim_50_empty_0.08_"
2272;50;0.08;100;0;"31_execution_dim_50_empty_0.08_"
2297;50;0.08;100;0;"32_execution_dim_50_empty_0.08_"
2310;50;0.08;100;0;"33_execution_dim_50_empty_0.08_"
2296;50;0.08;100;0;"34_execution_dim_50_empty_0.08_"
2303;50;0.08;100;0;"35_execution_dim_50_empty_0.08_"
2314;50;0.08;100;0;"36_execution_dim_50_empty_0.08_"
2308;50;0.08;100;0;"37_execution_dim_50_empty_0.08_"
2302;50;0.08;100;0;"38_execution_dim_50_empty_0.08_"
2296;50;0.08;100;0;"39_execution_dim_50_empty_0.08_"
2281;50;0.08;100;1;"40_execution_dim_50_empty_0.08_"
2318;50;0.08;100;0;"41_execution_dim_50_empty_0.08_"
2319;50;0.08;100;0;"42_execution_dim_50_empty_0.08_"
2312;50;0.08;100;0;"43_execution_dim_50_empty_0.08_"
2293;50;0.08;100;0;"44_execution_dim_50_empty_0.08_"
2287;50;0.08;100;0;"45_execution_dim_50_empty_0.08_"
2320;50;0.08;100;0;"46_execution_dim_50_empty_0.08_"
2315;50;0.08;100;0;"47_execution_dim_50_empty_0.08_"
2284;50;0.08;100;1;"48_execution_dim_50_empty_0.08_"
2311;50;0.08;100;0;"49_execution_dim_50_empty_0.08_"
2293;50;0.08;100;2;"50_execution_dim_50_empty_0.08_"
2258;50;0.1;100;0;"1_execution_dim_50_empty_0.1_"
2246;50;0.1;100;1;"2_execution_dim_50_empty_0.1_"
2252;50;0.1;100;0;"3_execution_dim_50_empty_0.1_"
2238;50;0.1;100;0;"4_execution_dim_50_empty_0.1_"
2297;50;0.1;100;0;"5_execution_dim_50_empty_0.1_"
2261;50;0.1;100;0;"6_execution_dim_50_empty_0.1_"
2271;50;0.1;100;0;"7_execution_dim_50_empty_0.1_"
2258;50;0.1;100;0;"8_execution_dim_50_empty_0.1_"
2248;50;0.1;100;5;"9_execution_dim_50_empty_0.1_"
2252;50;0.1;100;0;"10_execution_dim_50_empty_0.1_"
2265;50;0.1;100;1;"11_execution_dim_50_empty_0.1_"
2228;50;0.1;100;0;"12_execution_dim_50_empty_0.1_"
2265;50;0.1;100;1;"13_execution_dim_50_empty_0.1_"
2217;50;0.1;100;0;"14_execution_dim_50_empty_0.1_"
2257;50;0.1;100;0;"15_execution_dim_50_empty_0.1_"
2228;50;0.1;100;1;"16_execution_dim_50_empty_0.1_"
2251;50;0.1;100;0;"17_execution_dim_50_empty_0.1_"
2239;50;0.1;100;0;"18_execution_dim_50_empty_0.1_"
2255;50;0.1;100;0;"19_execution_dim_50_empty_0.1_"
2275;50;0.1;100;0;"20_execution_dim_50_empty_0.1_"
2242;50;0.1;100;0;"21_execution_dim_50_empty_0.1_"
2228;50;0.1;100;2;"22_execution_dim_50_empty_0.1_"
2248;50;0.1;100;0;"23_execution_dim_50_empty_0.1_"
2247;50;0.1;100;1;"24_execution_dim_50_empty_0.1_"
2271;50;0.1;100;0;"25_execution_dim_50_empty_0.1_"
2247;50;0.1;100;0;"26_execution_dim_50_empty_0.1_"
2272;50;0.1;100;0;"27_execution_dim_50_empty_0.1_"
2246;50;0.1;100;0;"28_execution_dim_50_empty_0.1_"
2212;50;0.1;100;1;"29_execution_dim_50_empty_0.1_"
2235;50;0.1;100;1;"30_execution_dim_50_empty_0.1_"
2238;50;0.1;100;0;"31_execution_dim_50_empty_0.1_"
2234;50;0.1;100;0;"32_execution_dim_50_empty_0.1_"
2234;50;0.1;100;1;"33_execution_dim_50_empty_0.1_"
2236;50;0.1;100;0;"34_execution_dim_50_empty_0.1_"
2256;50;0.1;100;0;"35_execution_dim_50_empty_0.1_"
2252;50;0.1;100;1;"36_execution_dim_50_empty_0.1_"
2224;50;0.1;100;0;"37_execution_dim_50_empty_0.1_"
2249;50;0.1;100;1;"38_execution_dim_50_empty_0.1_"
2236;50;0.1;100;1;"39_execution_dim_50_empty_0.1_"
2256;50;0.1;100;3;"40_execution_dim_50_empty_0.1_"
2245;50;0.1;100;1;"41_execution_dim_50_empty_0.1_"
2253;50;0.1;100;0;"42_execution_dim_50_empty_0.1_"
2243;50;0.1;100;1;"43_execution_dim_50_empty_0.1_"
2247;50;0.1;100;1;"44_execution_dim_50_empty_0.1_"
2255;50;0.1;100;0;"45_execution_dim_50_empty_0.1_"
2266;50;0.1;100;0;"46_execution_dim_50_empty_0.1_"
2251;50;0.1;100;1;"47_execution_dim_50_empty_0.1_"
2255;50;0.1;100;0;"48_execution_dim_50_empty_0.1_"
2239;50;0.1;100;1;"49_execution_dim_50_empty_0.1_"
2224;50;0.1;100;0;"50_execution_dim_50_empty_0.1_"
2224;50;0.12;100;1;"1_execution_dim_50_empty_0.12_"
2187;50;0.12;100;0;"2_execution_dim_50_empty_0.12_"
2184;50;0.12;100;1;"3_execution_dim_50_empty_0.12_"
2212;50;0.12;100;0;"4_execution_dim_50_empty_0.12_"
2182;50;0.12;100;0;"5_execution_dim_50_empty_0.12_"
2193;50;0.12;100;0;"6_execution_dim_50_empty_0.12_"
2189;50;0.12;100;3;"7_execution_dim_50_empty_0.12_"
2217;50;0.12;100;1;"8_execution_dim_50_empty_0.12_"
2164;50;0.12;100;2;"9_execution_dim_50_empty_0.12_"
2197;50;0.12;100;0;"10_execution_dim_50_empty_0.12_"
2175;50;0.12;100;0;"11_execution_dim_50_empty_0.12_"
2205;50;0.12;100;1;"12_execution_dim_50_empty_0.12_"
2162;50;0.12;100;0;"13_execution_dim_50_empty_0.12_"
2183;50;0.12;100;1;"14_execution_dim_50_empty_0.12_"
2208;50;0.12;100;1;"15_execution_dim_50_empty_0.12_"
2166;50;0.12;100;0;"16_execution_dim_50_empty_0.12_"
2211;50;0.12;100;0;"17_execution_dim_50_empty_0.12_"
2222;50;0.12;100;0;"18_execution_dim_50_empty_0.12_"
2165;50;0.12;100;0;"19_execution_dim_50_empty_0.12_"
2188;50;0.12;100;2;"20_execution_dim_50_empty_0.12_"
2200;50;0.12;100;0;"21_execution_dim_50_empty_0.12_"
2210;50;0.12;100;1;"22_execution_dim_50_empty_0.12_"
2197;50;0.12;100;1;"23_execution_dim_50_empty_0.12_"
2198;50;0.12;100;0;"24_execution_dim_50_empty_0.12_"
2163;50;0.12;100;3;"25_execution_dim_50_empty_0.12_"
2203;50;0.12;100;0;"26_execution_dim_50_empty_0.12_"
2196;50;0.12;100;0;"27_execution_dim_50_empty_0.12_"
2210;50;0.12;100;1;"28_execution_dim_50_empty_0.12_"
2202;50;0.12;100;1;"29_execution_dim_50_empty_0.12_"
2189;50;0.12;100;0;"30_execution_dim_50_empty_0.12_"
2202;50;0.12;100;0;"31_execution_dim_50_empty_0.12_"
2194;50;0.12;100;3;"32_execution_dim_50_empty_0.12_"
2192;50;0.12;100;1;"33_execution_dim_50_empty_0.12_"
2196;50;0.12;100;0;"34_execution_dim_50_empty_0.12_"
2148;50;0.12;100;1;"35_execution_dim_50_empty_0.12_"
2199;50;0.12;100;2;"36_execution_dim_50_empty_0.12_"
2218;50;0.12;100;1;"37_execution_dim_50_empty_0.12_"
2205;50;0.12;100;0;"38_execution_dim_50_empty_0.12_"
2203;50;0.12;100;1;"39_execution_dim_50_empty_0.12_"
2194;50;0.12;100;0;"40_execution_dim_50_empty_0.12_"
2207;50;0.12;100;0;"41_execution_dim_50_empty_0.12_"
2216;50;0.12;100;0;"42_execution_dim_50_empty_0.12_"
2218;50;0.12;100;3;"43_execution_dim_50_empty_0.12_"
2193;50;0.12;100;1;"44_execution_dim_50_empty_0.12_"
2200;50;0.12;100;0;"45_execution_dim_50_empty_0.12_"
2210;50;0.12;100;0;"46_execution_dim_50_empty_0.12_"
2201;50;0.12;100;3;"47_execution_dim_50_empty_0.12_"
2173;50;0.12;100;4;"48_execution_dim_50_empty_0.12_"
2207;50;0.12;100;0;"49_execution_dim_50_empty_0.12_"
2205;50;0.12;100;1;"50_execution_dim_50_empty_0.12_"
2161;50;0.14;100;4;"1_execution_dim_50_empty_0.14_"
2119;50;0.14;100;2;"2_execution_dim_50_empty_0.14_"
2149;50;0.14;100;1;"3_execution_dim_50_empty_0.14_"
2110;50;0.14;100;2;"4_execution_dim_50_empty_0.14_"
2174;50;0.14;100;0;"5_execution_dim_50_empty_0.14_"
2151;50;0.14;100;2;"6_execution_dim_50_empty_0.14_"
2152;50;0.14;100;1;"7_execution_dim_50_empty_0.14_"
2130;50;0.14;100;1;"8_execution_dim_50_empty_0.14_"
2157;50;0.14;100;1;"9_execution_dim_50_empty_0.14_"
2158;50;0.14;100;1;"10_execution_dim_50_empty_0.14_"
2169;50;0.14;100;1;"11_execution_dim_50_empty_0.14_"
2132;50;0.14;100;1;"12_execution_dim_50_empty_0.14_"
2127;50;0.14;100;1;"13_execution_dim_50_empty_0.14_"
2142;50;0.14;100;3;"14_execution_dim_50_empty_0.14_"
2137;50;0.14;100;3;"15_execution_dim_50_empty_0.14_"
2139;50;0.14;100;2;"16_execution_dim_50_empty_0.14_"
2148;50;0.14;100;1;"17_execution_dim_50_empty_0.14_"
2166;50;0.14;100;0;"18_execution_dim_50_empty_0.14_"
2127;50;0.14;100;4;"19_execution_dim_50_empty_0.14_"
2155;50;0.14;100;1;"20_execution_dim_50_empty_0.14_"
2150;50;0.14;100;4;"21_execution_dim_50_empty_0.14_"
2156;50;0.14;100;6;"22_execution_dim_50_empty_0.14_"
2112;50;0.14;100;2;"23_execution_dim_50_empty_0.14_"
2142;50;0.14;100;2;"24_execution_dim_50_empty_0.14_"
2130;50;0.14;100;3;"25_execution_dim_50_empty_0.14_"
2190;50;0.14;100;0;"26_execution_dim_50_empty_0.14_"
2164;50;0.14;100;2;"27_execution_dim_50_empty_0.14_"
2149;50;0.14;100;6;"28_execution_dim_50_empty_0.14_"
2155;50;0.14;100;0;"29_execution_dim_50_empty_0.14_"
2126;50;0.14;100;1;"30_execution_dim_50_empty_0.14_"
2181;50;0.14;100;0;"31_execution_dim_50_empty_0.14_"
2170;50;0.14;100;1;"32_execution_dim_50_empty_0.14_"
2154;50;0.14;100;3;"33_execution_dim_50_empty_0.14_"
2159;50;0.14;100;5;"34_execution_dim_50_empty_0.14_"
2138;50;0.14;100;1;"35_execution_dim_50_empty_0.14_"
2163;50;0.14;100;2;"36_execution_dim_50_empty_0.14_"
2163;50;0.14;100;0;"37_execution_dim_50_empty_0.14_"
2132;50;0.14;100;1;"38_execution_dim_50_empty_0.14_"
2162;50;0.14;100;1;"39_execution_dim_50_empty_0.14_"
2133;50;0.14;100;3;"40_execution_dim_50_empty_0.14_"
2137;50;0.14;100;1;"41_execution_dim_50_empty_0.14_"
2143;50;0.14;100;5;"42_execution_dim_50_empty_0.14_"
2149;50;0.14;100;6;"43_execution_dim_50_empty_0.14_"
2138;50;0.14;100;2;"44_execution_dim_50_empty_0.14_"
2190;50;0.14;100;3;"45_execution_dim_50_empty_0.14_"
2168;50;0.14;100;0;"46_execution_dim_50_empty_0.14_"
2130;50;0.14;100;2;"47_execution_dim_50_empty_0.14_"
2153;50;0.14;100;1;"48_execution_dim_50_empty_0.14_"
2167;50;0.14;100;0;"49_execution_dim_50_empty_0.14_"
2127;50;0.14;100;3;"50_execution_dim_50_empty_0.14_"
2103;50;0.16;100;2;"1_execution_dim_50_empty_0.16_"
2100;50;0.16;100;0;"2_execution_dim_50_empty_0.16_"
2083;50;0.16;100;1;"3_execution_dim_50_empty_0.16_"
2112;50;0.16;100;1;"4_execution_dim_50_empty_0.16_"
2098;50;0.16;100;2;"5_execution_dim_50_empty_0.16_"
2111;50;0.16;100;2;"6_execution_dim_50_empty_0.16_"
2087;50;0.16;100;4;"7_execution_dim_50_empty_0.16_"
2118;50;0.16;100;1;"8_execution_dim_50_empty_0.16_"
2112;50;0.16;100;2;"9_execution_dim_50_empty_0.16_"
2113;50;0.16;100;2;"10_execution_dim_50_empty_0.16_"
2106;50;0.16;100;2;"11_execution_dim_50_empty_0.16_"
2100;50;0.16;100;1;"12_execution_dim_50_empty_0.16_"
2067;50;0.16;100;3;"13_execution_dim_50_empty_0.16_"
2057;50;0.16;100;1;"14_execution_dim_50_empty_0.16_"
2104;50;0.16;100;6;"15_execution_dim_50_empty_0.16_"
2087;50;0.16;100;2;"16_execution_dim_50_empty_0.16_"
2084;50;0.16;100;5;"17_execution_dim_50_empty_0.16_"
2117;50;0.16;100;2;"18_execution_dim_50_empty_0.16_"
2122;50;0.16;100;7;"19_execution_dim_50_empty_0.16_"
2089;50;0.16;100;1;"20_execution_dim_50_empty_0.16_"
2095;50;0.16;100;1;"21_execution_dim_50_empty_0.16_"
