burned;burningProbability;burningStepThreshold;dim;empty;finalTime;forest;neighborhood;simulations
9517;1;1;100;0.05;200;0;"vonneumann";"1_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9511;1;1;100;0.05;200;0;"vonneumann";"2_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9537;1;1;100;0.05;200;0;"vonneumann";"3_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9478;1;1;100;0.05;200;0;"vonneumann";"4_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9484;1;1;100;0.05;200;0;"vonneumann";"5_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9527;1;1;100;0.05;200;0;"vonneumann";"6_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9497;1;1;100;0.05;200;0;"vonneumann";"7_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9504;1;1;100;0.05;200;0;"vonneumann";"8_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9516;1;1;100;0.05;200;0;"vonneumann";"9_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9492;1;1;100;0.05;200;0;"vonneumann";"10_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9505;1;1;100;0.05;200;2;"vonneumann";"11_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9502;1;1;100;0.05;200;0;"vonneumann";"12_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9455;1;1;100;0.05;200;2;"vonneumann";"13_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9519;1;1;100;0.05;200;0;"vonneumann";"14_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9479;1;1;100;0.05;200;0;"vonneumann";"15_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9482;1;1;100;0.05;200;0;"vonneumann";"16_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
9498;1;1;100;0.05;200;0;"vonneumann";"17_execution_burningProbability_1_burningStepThreshold_1_dim_100_empty_0.05_finalTime_200_neighborhood_vonneumann_"
