burned;burningProbability;burningStepThreshold;dim;empty;finalTime;forest;neighborhood;simulations
2481;0.9;1;50;0.0;150;19;"vonneumann";"1_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2484;0.9;1;50;0.0;150;16;"vonneumann";"2_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2479;0.9;1;50;0.0;150;21;"vonneumann";"3_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2476;0.9;1;50;0.0;150;24;"vonneumann";"4_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"5_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2476;0.9;1;50;0.0;150;24;"vonneumann";"6_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2480;0.9;1;50;0.0;150;20;"vonneumann";"7_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2482;0.9;1;50;0.0;150;18;"vonneumann";"8_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2488;0.9;1;50;0.0;150;12;"vonneumann";"9_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2467;0.9;1;50;0.0;150;33;"vonneumann";"10_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"11_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2476;0.9;1;50;0.0;150;24;"vonneumann";"12_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"13_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2489;0.9;1;50;0.0;150;11;"vonneumann";"14_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"15_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2474;0.9;1;50;0.0;150;26;"vonneumann";"16_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2475;0.9;1;50;0.0;150;25;"vonneumann";"17_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2482;0.9;1;50;0.0;150;18;"vonneumann";"18_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2485;0.9;1;50;0.0;150;15;"vonneumann";"19_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2476;0.9;1;50;0.0;150;24;"vonneumann";"20_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2481;0.9;1;50;0.0;150;19;"vonneumann";"21_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2479;0.9;1;50;0.0;150;21;"vonneumann";"22_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2478;0.9;1;50;0.0;150;22;"vonneumann";"23_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2475;0.9;1;50;0.0;150;25;"vonneumann";"24_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2481;0.9;1;50;0.0;150;19;"vonneumann";"25_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2478;0.9;1;50;0.0;150;22;"vonneumann";"26_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2481;0.9;1;50;0.0;150;19;"vonneumann";"27_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2482;0.9;1;50;0.0;150;18;"vonneumann";"28_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2475;0.9;1;50;0.0;150;25;"vonneumann";"29_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2485;0.9;1;50;0.0;150;15;"vonneumann";"30_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2480;0.9;1;50;0.0;150;20;"vonneumann";"31_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2480;0.9;1;50;0.0;150;20;"vonneumann";"32_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2478;0.9;1;50;0.0;150;22;"vonneumann";"33_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2482;0.9;1;50;0.0;150;18;"vonneumann";"34_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2480;0.9;1;50;0.0;150;20;"vonneumann";"35_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2481;0.9;1;50;0.0;150;19;"vonneumann";"36_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"37_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2479;0.9;1;50;0.0;150;21;"vonneumann";"38_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"39_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2476;0.9;1;50;0.0;150;24;"vonneumann";"40_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2480;0.9;1;50;0.0;150;20;"vonneumann";"41_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2477;0.9;1;50;0.0;150;23;"vonneumann";"42_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2488;0.9;1;50;0.0;150;12;"vonneumann";"43_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2484;0.9;1;50;0.0;150;16;"vonneumann";"44_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2485;0.9;1;50;0.0;150;15;"vonneumann";"45_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2486;0.9;1;50;0.0;150;14;"vonneumann";"46_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2479;0.9;1;50;0.0;150;21;"vonneumann";"47_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2482;0.9;1;50;0.0;150;18;"vonneumann";"48_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2481;0.9;1;50;0.0;150;19;"vonneumann";"49_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2478;0.9;1;50;0.0;150;22;"vonneumann";"50_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.0_finalTime_150_neighborhood_vonneumann_"
2353;0.9;1;50;0.05;150;25;"vonneumann";"1_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.05_finalTime_150_neighborhood_vonneumann_"
2366;0.9;1;50;0.05;150;15;"vonneumann";"2_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.05_finalTime_150_neighborhood_vonneumann_"
2333;0.9;1;50;0.05;150;21;"vonneumann";"3_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.05_finalTime_150_neighborhood_vonneumann_"
2349;0.9;1;50;0.05;150;22;"vonneumann";"4_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.05_finalTime_150_neighborhood_vonneumann_"
2368;0.9;1;50;0.05;150;16;"vonneumann";"5_execution_burningProbability_0.9_burningStepThreshold_1_dim_50_empty_0.05_finalTime_150_neighborhood_vonneumann_"
